I agree to participate in the research project under the conditions described above.,Please create your own nickname. *PLEASE* make sure you remember this in 28 days as we do not keep this information for anonymization purpose. This identifier will *ONLY* be used for matching the feedback of post-intervention questionnaire.,Are you a Software Engineering (SE) student or working in the SE field ?,How many years have you participated in SE project development/worked in SE? (You can put 0 if you are a SE student.),What roles do you play in SE project development/work in SE ? (You can put NA if this does't apply to you.),What is your current residence country/region?,"Have you practiced mindful relaxation continuously and usually in the past 14 days? ( If YES, you do not meet our sampling criteria -> we still appreciate your interest)","In terms of stress level, on a scale from 1-5, using only integers, how would you rate your stress arising from your work or any events directly related to your work on a working day?","In terms of focus level, on a scale from 1-5, using only integers, how much do you focus on your current work, with mind at present?","When you received newly assigned tasks, how often do you feel fully occupied?",How often do you feel you are competent and capable when handling tasks?,How often do you feel it is difficult to stay focused on what’s happening in the present?,How often do you feel stressed out when you encountered unknown errors?,How often do you not concentrate enough on your work?,How often do you find yourself not working as carefully as you should?,How often do you experience some emotion and not be conscious of it until some time later?,How often do you get so focused on the goaI you want to achieve that Iose touch with what you are doing right now to get there?,"Using the same 0-to-10 scale, how would you rate your overall job performance on the days you worked during the past 4 weeks (28 days)?","When received newly assigned tasks, I will handle it as smoothly as I can.","When formulating commit messages, I can remember exactly what I have modified.","When taking a break, my mind is still always full of technical issues.",How often do you do no work at times when you are supposed to be working?,How do you find communicating  with teammates when collaborating on fixes?
"Yes, I agree to participate.",ii,Working in SE,3,Developer,Singapore,No,No stress at all.,Overall attentive but with sporadic distraction.,5,4,5,4,6,3,6,5,2,4,4,3,4,4
"Yes, I agree to participate.",Inada,Working in SE,2,Frontend,Austria,No,Moderate stress.,Get distracted often.,4,5,4,5,2,5,4,5,5,5,3,3,4,3
"Yes, I agree to participate.",lewis,"SE students, NOT currently involved in any SE project.",0.5,scrum master,Germany,No,At the verge of burn-out.,Overall attentive but with sporadic distraction.,3,4,4,5,3,4,3,5,7,3,2,3,2,4
"Yes, I agree to participate.",老罗,"SE students, currently involved in one SE project or more.",1,"frontend, UI, product owner",China,No,A bit of stress but acceptable.,Overall attentive but with sporadic distraction.,5,4,4,6,4,3,2,5,3,4,5,4,3,2
"Yes, I agree to participate.",Puppet,"SE students, currently involved in one SE project or more.",1,scrum master,Sweden,No,A bit of stress but acceptable.,Overall attentive but with sporadic distraction.,4,3,5,2,5,5,6,5,8,6,5,2,2,3
"Yes, I agree to participate.",pigcanfly,Working in SE,0,developer,Hong Kong,No,Moderate stress.,Get distracted often.,5,4,5,5,4,6,3,3,7,2,4,2,4,3
"Yes, I agree to participate.",cat,"SE students, currently involved in one SE project or more.",0,NA,Sweden,No,A bit of stress but acceptable.,Overall attentive but with sporadic distraction.,5,4,5,5,5,4,5,5,4,2,3,2,3,4
"Yes, I agree to participate.",老凤,Working in SE,4,senior developer,CHN,No,A bit of stress but acceptable.,Very attentive but sometimes mind flow away.,4,3,1,2,4,3,4,5,6,2,4,2,3,5
"Yes, I agree to participate.",kfc,"SE students, NOT currently involved in any SE project.",1,student,malaysia,No,Burn-out.,Very attentive but sometimes mind flow away.,5,6,5,6,5,4,5,1,6,2,3,3,2,1
"Yes, I agree to participate.",joker,"SE students, currently involved in one SE project or more.",0,student,CHN,No,Moderate stress.,Very attentive but sometimes mind flow away.,2,5,4,5,4,6,4,5,3,5,6,4,6,5
"Yes, I agree to participate.",ice,"SE students, currently involved in one SE project or more.",4,developer,Sweden,No,A bit of stress but acceptable.,Very attentive but sometimes mind flow away.,5,4,5,3,5,5,6,6,2,5,4,3,4,2
"Yes, I agree to participate.",Natt,"SE students, currently involved in one SE project or more.",0,Scrum master,Sweden,No,Moderate stress.,Very attentive but sometimes mind flow away.,5,6,4,6,4,3,3,3,3,4,5,6,5,3
