,,Nine,KEBABE,Simonster,MR. X,Duckling,Ling,fourierBB,SP2,ii,Inada,lewis,老罗,pigcanfly,Kfc,joker,Ice,Almanackan,Nazlac,Puppet,cat,老凤,Averge change
Red + Good,,,2,3,,,,,,,,,,,,,,,,,,,
Otherwise - Good,,,2,2,,,,,,,,,,,,,,,,,,,
,,,2,4,,,,,,,,,,,,,,,,,,,
,,,2,5,,,,,,,,,,,,,,,,,,,
,,,2,3,,,,,,,,,,,,,,,,,,,
,,,2,4,,,,,,,,,,,,,,,,,,,
,,,3,5,,,,,,,,,,,,,,,,,,,
,,,2,4,,,,,,,,,,,,,,,,,,,
,,,3,4,,,,,,,,,,,,,,,,,,,
,,,3,4,,,,,,,,,,,,,,,,,,,
,,,2,3,,,,,,,,,,,,,,,,,,,
,,,4,3,,,,,,,,,,,,,,,,,,,
,,,4,2,,,,,,,,,,,,,,,,,,,
,,,4,4,,,,,,,,,,,,,,,,,,,
